Chain	Strand #	Length()
A	0	2.033000946044922
A	1	9.39699935913086
A	2	5.694999694824219
A	3	4.729999542236328
A	4	0.045001983642578125
A	5	0.6180000305175781
A	6	2.0440025329589844
A	7	4.134998321533203
A	8	3.0519981384277344
A	9	5.814998626708984
A	10	12.499000549316406
A	11	29.25499725341797
A	12	57.90500259399414
A	13	38.44400405883789
A	14	34.15999984741211
A	15	30.532001495361328
A	16	22.87799835205078
A	17	21.31599998474121
A	18	17.032001495361328
A	19	17.874000549316406
A	20	17.060001373291016
A	21	15.764999389648438
A	22	8.875
A	23	10.386000633239746
A	24	20.43000030517578
A	25	11.077001571655273
